College Name,Country of Citizenship Name,Head Count - Fall
Fanshawe College,SOUTH AFRICA,N/A
Fanshawe College,SRI LANKA,N/A
Fanshawe College,ST LUCIA,N/A
Fanshawe College,ST VINCENT AND THE GRENADINES,N/A
Fanshawe College,SUDAN,N/A
Fanshawe College,SWAZILAND,N/A
Fanshawe College,SWITZERLAND,N/A
Fanshawe College,Syria,N/A
Fanshawe College,TANZANIA UNITED REPUBLIC OF,N/A
Fanshawe College,THAILAND,N/A
Fanshawe College,TRINIDAD AND TOBAGO,N/A
Fanshawe College,UGANDA,N/A
Fanshawe College,UKRAINE,N/A
Fanshawe College,UNITED KINGDOM,20
Fanshawe College,UNITED STATES,13
Fanshawe College,VENEZUELA,N/A
Fanshawe College,YEMEN,N/A
Fanshawe College,ZIMBABWE,N/A
George Brown College,AFGHANISTAN,21
George Brown College,ALBANIA,N/A
George Brown College,ALGERIA,N/A
George Brown College,ANGOLA,N/A
George Brown College,ANTIGUA AND BARBUDA,N/A
George Brown College,ARGENTINA,N/A
George Brown College,ARMENIA,N/A
George Brown College,AUSTRALIA,N/A
George Brown College,AZERBAIJAN,N/A
George Brown College,BAHRAIN,N/A
George Brown College,BANGLADESH,49
George Brown College,BARBADOS,N/A
George Brown College,BELARUS,N/A
George Brown College,BELGIUM,N/A
George Brown College,BHUTAN,N/A
George Brown College,BOTSWANA,10
George Brown College,BRAZIL,17
George Brown College,BULGARIA,N/A
George Brown College,BURUNDI,N/A
George Brown College,CAMBODIA,N/A
George Brown College,CAMEROON,N/A
George Brown College,CANADA,13625
George Brown College,CAYMAN ISLANDS,N/A
George Brown College,CHILE,N/A
George Brown College,CHINA,156
George Brown College,COLOMBIA,37
George Brown College,"CONGO, DEMOCRATIC REPUBLIC OF THE",N/A
George Brown College,COSTA RICA,N/A
George Brown College,CUBA,N/A
George Brown College,DENMARK,N/A
George Brown College,DOMINICA,N/A
George Brown College,DOMINICAN REPUBLIC,N/A
George Brown College,ECUADOR,10
George Brown College,EGYPT,N/A
George Brown College,EL SALVADOR,N/A
George Brown College,ERITREA,14
George Brown College,ESTONIA,N/A
George Brown College,ETHIOPIA,12
George Brown College,FIJI,N/A
George Brown College,FRANCE,N/A
George Brown College,GAMBIA,N/A
George Brown College,GEORGIA,N/A
George Brown College,GERMANY,N/A
George Brown College,GHANA,10
George Brown College,GRENADA,N/A
George Brown College,GUATEMALA,N/A
George Brown College,GUINEA-BISSAU,N/A
George Brown College,GUYANA,11
George Brown College,HAITI,11
George Brown College,HONDURAS,N/A
George Brown College,HONG KONG,N/A
George Brown College,HUNGARY,N/A
George Brown College,INDIA,91
George Brown College,INDONESIA,N/A
George Brown College,IRAN,84
George Brown College,IRAQ,18
George Brown College,IRELAND REPUBLIC OF (EIRE),N/A
George Brown College,ISRAEL,10
George Brown College,ITALY,N/A
George Brown College,JAMAICA,47
George Brown College,JAPAN,10
George Brown College,JORDAN,N/A
George Brown College,KAZAKHSTAN,N/A
George Brown College,KENYA,14
George Brown College,KOREA NORTH,N/A
George Brown College,KOREA SOUTH,78
George Brown College,KYRGYZSTAN,N/A
George Brown College,LATVIA,N/A
George Brown College,LEBANON,N/A
