S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
A-60701,GTA,DURH,DURH01163,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,CE,GEOR,GEOR01180,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,GTA,SHER,SHER01215,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SE,ALGO,ALGO01230,Child And Youth Worker,TRUE,TRUE,TRUE
A-60701,SE,SSFL,SSFL01244,Child and Youth Worker,TRUE,TRUE,FALSE
A-60701,GTA,SENE,SENE01276,Child and Youth Worker,TRUE,TRUE,TRUE
A-60719,SE,SLAW,SLAW01003,Behavioural Science Technology,TRUE,TRUE,TRUE
A-60719,GTA,GRBR,GRBR01223,Behavioural Science Technology,TRUE,TRUE,TRUE
A-60735,SW,STCL,STCL01106,American Sign Language - English Interpreter,FALSE,FALSE,TRUE
A-60735,GTA,GRBR,GRBR01176,American Sign Language/english Interpreter,TRUE,TRUE,TRUE
A-60807,SE,ALGO,ALGO01077,Applied Museum Studies,TRUE,TRUE,TRUE
A-61003,CE,CONS,CONS01009,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,SW,STCL,STCL01012,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,N,CONF,CONF01014,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,N,CAMB,CAMB01015,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,CE,MOHA,MOHA01015,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,N,NORT,NORT01018,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,GTA,HUMB,HUMB01018,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,GTA,SENE,SENE01020,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,SE,LOYT,LOYT01039,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,CE,MOHA,MOHA01055,Transportation Engineering Technology,TRUE,TRUE,TRUE
A-61003,SE,LACI,LACI01062,Civil Engineering Technology - Construction,TRUE,TRUE,TRUE
A-61003,SE,SLAW,SLAW01065,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,SW,FANS,FANS01126,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,CE,CONS,CONS01136,Civil Engineering Technology - Environmental,TRUE,TRUE,TRUE
A-61003,CE,GEOR,GEOR01202,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,SE,ALGO,ALGO01214,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61003,GTA,GRBR,GRBR01263,Civil Engineering Technology,TRUE,TRUE,TRUE
A-61007,SE,ALGO,ALGO01027,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,GTA,DURH,DURH01032,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,SW,STCL,STCL01035,Mechanical Engineering Technology - Machine And Tool Design,FALSE,FALSE,TRUE
A-61007,CE,MOHA,MOHA01037,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,CE,NIAG,NIAG01045,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,GTA,SHER,SHER01046,Mechanical Engineering Technology,TRUE,TRUE,TRUE
